folder,classification,purpose,owner_subsystem,direct_file_count,recursive_file_count,dependencies,importance,recommendation
quantum/circuits,Core Product,Core Product folder under quantum,quantum,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/critics,Core Product,Core Product folder under quantum,quantum,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/discovery,Core Product,Core Product folder under quantum,quantum,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/evidence_audit,Core Product,Core Product folder under quantum,quantum,14,14,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/evolution,Core Product,Core Product folder under quantum,quantum,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/explainability,Core Product,Core Product folder under quantum,quantum,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/external_audit,Core Product,Core Product folder under quantum,quantum,13,13,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/factories,Core Product,Core Product folder under quantum,quantum,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/generators,Core Product,Core Product folder under quantum,quantum,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/graph,Core Product,Core Product folder under quantum,quantum,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/hardware,Core Product,Core Product folder under quantum,quantum,15,15,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/integration,Core Product,Core Product folder under quantum,quantum,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/knowledge,Core Product,Core Product folder under quantum,quantum,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/law_discovery,Core Product,Core Product folder under quantum,quantum,16,16,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/law_validation,Core Product,Core Product folder under quantum,quantum,14,14,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/memory,Core Product,Core Product folder under quantum,quantum,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/noise,Core Product,Core Product folder under quantum,quantum,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/novel_physics,Core Product,Core Product folder under quantum,quantum,13,13,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/optimization,Core Product,Core Product folder under quantum,quantum,22,22,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/qml,Core Product,Core Product folder under quantum,quantum,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/reality_native,Core Product,Core Product folder under quantum,quantum,31,31,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/research,Core Product,Core Product folder under quantum,quantum,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/revision,Core Product,Core Product folder under quantum,quantum,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/sandbox,Core Product,Core Product folder under quantum,quantum,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/scientific_reproduction,Core Product,Core Product folder under quantum,quantum,11,11,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/simulation,Core Product,Core Product folder under quantum,quantum,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/tests,Testing,Testing folder under quantum,quantum,77,77,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/theory,Core Product,Core Product folder under quantum,quantum,14,14,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/validation,Core Product,Core Product folder under quantum,quantum,16,16,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
reproduce,Unknown,Unknown folder under <root>,<root>,3,3,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
results,Testing,Testing folder under <root>,<root>,0,11,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
results/harmonic,Unknown,Unknown folder under results,results,5,5,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
results/phase8a,Unknown,Unknown folder under results,results,0,0,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
results/phase8b,Unknown,Unknown folder under results,results,0,0,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
results/phase8c,Unknown,Unknown folder under results,results,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
results/phase8e,Unknown,Unknown folder under results,results,5,5,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
satelite,Core Product,AST-OS spacecraft thermal digital twin domain,<root>,78,907,see DOMAIN_DEPENDENCY_REPORT.md,Low,"Keep, then migrate to satellite/ in controlled branch"
satelite/.github,Infrastructure,Infrastructure folder under satelite,satelite,0,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/.github/workflows,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/VERIFICATION_BASELINE_v1,Generated Artifacts,Generated Artifacts folder under satelite,satelite,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/VERIFICATION_BASELINE_v2,Generated Artifacts,Generated Artifacts folder under satelite,satelite,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/VERIFICATION_BASELINE_v3,Generated Artifacts,Generated Artifacts folder under satelite,satelite,15,15,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/VERIFICATION_BASELINE_v4,Generated Artifacts,Generated Artifacts folder under satelite,satelite,20,20,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/astos_cfs_app,Core Product,Core Product folder under satelite,satelite,13,19,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/astos_cfs_app/integration_tests,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/astos_cfs_app/unit_tests,Core Product,Core Product folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/astos_cfs_app/updates,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/audit_execution_logs,Core Product,Core Product folder under satelite,satelite,9,9,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/backend,Core Product,Core Product folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/benchmarks,Testing,Testing folder under satelite,satelite,7,7,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard,Core Product,Core Product folder under satelite,satelite,18,290,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/e2e,Testing,Testing folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/public,Core Product,Core Product folder under satelite,satelite,6,129,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/public/artifacts,Generated Artifacts,Generated Artifacts folder under satelite,satelite,0,123,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/baselines,Generated Artifacts,Generated Artifacts folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/benchmarks,Testing,Testing folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/public/artifacts/discoveries,Generated Artifacts,Generated Artifacts folder under satelite,satelite,21,21,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/embeddings,Generated Artifacts,Generated Artifacts folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/experiments,Generated Artifacts,Generated Artifacts folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/history,Generated Artifacts,Generated Artifacts folder under satelite,satelite,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/sessions,Generated Artifacts,Generated Artifacts folder under satelite,satelite,79,89,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/sessions/experiment_001,Generated Artifacts,Generated Artifacts folder under satelite,satelite,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/sessions/experiment_002,Generated Artifacts,Generated Artifacts folder under satelite,satelite,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/public/artifacts/telemetry,Generated Artifacts,Generated Artifacts folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/dashboard/screenshots,Core Product,Core Product folder under satelite,satelite,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src,Core Product,Core Product folder under satelite,satelite,0,137,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app,Core Product,Core Product folder under satelite,satelite,4,28,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang],Core Product,Core Product folder under satelite,satelite,1,18,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/compare,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/dashboard,Core Product,Core Product folder under satelite,satelite,1,7,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/dashboard/benchmark,Testing,Testing folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/dashboard/log,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/dashboard/roadmap,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/dashboard/scientific-log,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/dashboard/timeline,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/discoveries,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/interactive,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/learn,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/mathematics,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/physics,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/quantum,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/[lang]/satellite,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/discoveries,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/learn,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/mathematics,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/physics,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/quantum,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/app/satellite,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components,Core Product,Core Product folder under satelite,satelite,0,77,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components/cinematic,Core Product,Core Product folder under satelite,satelite,7,7,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components/dashboard,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components/educational,Core Product,Core Product folder under satelite,satelite,9,9,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components/interactive,Core Product,Core Product folder under satelite,satelite,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components/layout,Core Product,Core Product folder under satelite,satelite,7,7,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components/motion,Core Product,Core Product folder under satelite,satelite,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components/scientific,Core Product,Core Product folder under satelite,satelite,29,29,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/components/ui,Core Product,Core Product folder under satelite,satelite,11,11,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/constants,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/data,Core Product,Core Product folder under satelite,satelite,14,14,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/hooks,Core Product,Core Product folder under satelite,satelite,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/lib,Core Product,Core Product folder under satelite,satelite,0,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/lib/i18n,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/lib/realtime,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/lib/utils,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/stores,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/dashboard/src/types,Core Product,Core Product folder under satelite,satelite,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/datasets,Core Product,Core Product folder under satelite,satelite,12,12,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/docs,Documentation,Documentation folder under satelite,satelite,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/docs/papers,Documentation,Documentation folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/htmlcov,Core Product,Core Product folder under satelite,satelite,21,21,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/logs,Core Product,Core Product folder under satelite,satelite,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/models,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/openmdao_examples,Core Product,Core Product folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/openmdao_integration,Core Product,Core Product folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/physics,Core Product,Core Product folder under satelite,satelite,2,8,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/physics/artifacts,Generated Artifacts,Generated Artifacts folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
satelite/physics/core,Core Product,Core Product folder under satelite,satelite,1,5,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/physics/core/neurosymbolic,Core Product,Core Product folder under satelite,satelite,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/real_telemetry_pipeline,Core Product,Core Product folder under satelite,satelite,6,8,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/real_telemetry_pipeline/datasets,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/reports,Documentation,Documentation folder under satelite,satelite,25,25,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/reproduce,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite,Core Product,Core Product folder under satelite,satelite,19,334,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/adcs,Core Product,Core Product folder under satelite,satelite,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/api,Core Product,Core Product folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/auth,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/autonomy,Core Product,Core Product folder under satelite,satelite,17,17,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/cad,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/cloud,Core Product,Core Product folder under satelite,satelite,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/comms,Core Product,Core Product folder under satelite,satelite,7,7,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/constellation,Core Product,Core Product folder under satelite,satelite,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/db,Core Product,Core Product folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/demo,Core Product,Core Product folder under satelite,satelite,3,23,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/demo/demo_frames,Core Product,Core Product folder under satelite,satelite,12,12,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/demo/demo_screenshots,Core Product,Core Product folder under satelite,satelite,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/deploy,Core Product,Core Product folder under satelite,satelite,7,7,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/docs,Documentation,Documentation folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/emc,Core Product,Core Product folder under satelite,satelite,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/estimation,Core Product,Core Product folder under satelite,satelite,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/flight,Core Product,Core Product folder under satelite,satelite,22,22,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/investor,Core Product,Core Product folder under satelite,satelite,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/landing,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/models,Core Product,Core Product folder under satelite,satelite,11,11,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/ops,Core Product,Core Product folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/papers,Documentation,Documentation folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/patents,Core Product,Core Product folder under satelite,satelite,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/platform,Core Product,Core Product folder under satelite,satelite,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/qualification,Core Product,Core Product folder under satelite,satelite,9,9,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/radiation,Core Product,Core Product folder under satelite,satelite,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/satellite,Core Product,Core Product folder under satelite,satelite,0,14,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/satellite/demo,Core Product,Core Product folder under satelite,satelite,2,14,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/satellite/demo/demo_frames,Core Product,Core Product folder under satelite,satelite,12,12,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/satellite/demo/demo_screenshots,Core Product,Core Product folder under satelite,satelite,0,0,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/streaming,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/structural,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/tests,Testing,Testing folder under satelite,satelite,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/thermal,Core Product,Core Product folder under satelite,satelite,104,106,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/thermal/satellite,Core Product,Core Product folder under satelite,satelite,0,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/thermal/satellite/thermal,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/trl,Core Product,Core Product folder under satelite,satelite,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/tvac,Core Product,Core Product folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/uq,Core Product,Core Product folder under satelite,satelite,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/validation,Core Product,Core Product folder under satelite,satelite,8,13,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/validation/satellite,Core Product,Core Product folder under satelite,satelite,0,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/validation/satellite/validation,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/validation/test_fixtures,Testing,Testing folder under satelite,satelite,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/satellite/warp,Core Product,Core Product folder under satelite,satelite,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
satelite/tests,Testing,Testing folder under satelite,satelite,12,12,see DOMAIN_DEPENDENCY_REPORT.md,High,"Keep, then migrate to satellite/ in controlled branch"
